p,E[N],E[T]
0.01,0.010227454909819638,2.0206282565130262
0.02,0.020928857715430862,2.039879759519038
0.03,0.0316563126252505,2.0602685370741485
0.04,0.043427855711422846,2.087992985971944
0.05,0.05533366733466934,2.1103707414829658
0.060000000000000005,0.06807314629258517,2.135816633266533
0.07,0.08101703406813628,2.160567134268537
0.08,0.09522444889779559,2.1918274630987344
0.09,0.10974048096192385,2.218201402805611
0.09999999999999999,0.12520340681362727,2.253564128256513
0.10999999999999999,0.14123847695390782,2.2832705410821643
0.11999999999999998,0.1573196392785571,2.3147304609218438
0.12999999999999998,0.17563927855711423,2.3519425331237143
0.13999999999999999,0.19383967935871743,2.386441883767535
0.15,0.21463527054108217,2.4261150823949547
0.16,0.23725450901803607,2.4763346693386774
0.17,0.2574138276553106,2.514023046092184
0.18000000000000002,0.2793947895791583,2.5607875751503006
0.19000000000000003,0.3065290581162325,2.612746492985972
0.20000000000000004,0.3341012024048096,2.66889378757515
0.21000000000000005,0.3639428857715431,2.731391783567134
0.22000000000000006,0.3952705410821643,2.7898220644848406
0.23000000000000007,0.42680561122244487,2.85463126252505
0.24000000000000007,0.46456813627254506,2.929644218080379
0.25000000000000006,0.49896292585170343,2.9982855694244184
0.26000000000000006,0.5400841683366734,3.0802352297538182
0.2700000000000001,0.5871983967935872,3.1781914920265932
0.2800000000000001,0.636498997995992,3.2708140865449167
0.2900000000000001,0.6862575150300602,3.3689629258517035
0.3000000000000001,0.7508667334669339,3.5006813627254507
0.3100000000000001,0.8206102204408817,3.6426035645254866
0.3200000000000001,0.8932364729458918,3.7866218168773886
0.3300000000000001,0.9763286573146293,3.9550030060120243
0.34000000000000014,1.0630250501002003,4.12966458850619
0.35000000000000014,1.1714659318637275,4.34388815185632
0.36000000000000015,1.289741482965932,4.580457817924939
0.37000000000000016,1.4203046092184368,4.839194388777555
0.38000000000000017,1.5824679358717435,5.1625799974148325
0.3900000000000002,1.7890460921843687,5.584191382765531
0.4000000000000002,1.9865250501002003,5.967107181470122
0.4100000000000002,2.2784699398797597,6.558938348203192
0.4200000000000002,2.5758897795591182,7.143355711422846
0.4300000000000002,3.040821643286573,8.071832017546935
0.4400000000000002,3.7122825651302604,9.421297488489536
0.45000000000000023,4.640632264529058,11.287155141490434
0.46000000000000024,5.619625250501002,13.23186038798705
0.47000000000000025,7.488560120240481,16.966408884952134
0.48000000000000026,12.683592184368738,27.418595772950127
0.49000000000000027,25.76753406813627,53.52114466994394
